,category,0,1,2,3,4,5,6,7,8,9,10
0,times,133.84399999999997,1904.8679999999997,15346.616000000045,12489.25599999986,44936.60800000006,10397.223999999953,17534.627999999975,11334.188000000042,8440.011999999733,7507.392000000004,7754.708000001059
1,real_size_relation,227.0,8.0,577.0,1521.0,3062.0,1107.0,1608.0,1365.0,4100.0,413.0,30477.0
2,initial_size_relation,0.0,64.0,371.0,551.0,342.0,1160.0,1657.0,1482.0,2056.0,3712.0,33070.0
