,category,0,1,2,3,4,5,6,7,8,9,10
0,times,48.17200000000002,432.27600000000035,11002.339999999964,10649.992000000027,36843.76399999984,9024.60800000002,15778.480000000054,10768.912000000011,7941.131999999959,6288.831999999989,5911.743999999031
1,real_size_relation,294.0,1.0,600.0,1639.0,3048.0,906.0,1242.0,1229.0,4017.0,418.0,30349.0
2,initial_size_relation,0.0,64.0,395.0,580.0,376.0,1215.0,1792.0,1468.0,2071.0,3770.0,32012.0
