,category,0,1,2,3,4,5,6,7,8,9,10
0,times,47.80800000000004,930.4360000000004,13824.727999999857,11487.70400000007,38853.94799999991,9430.199999999995,16249.764000000034,10952.73600000001,8219.707999999964,6495.779999999969,6140.479999998959
1,real_size_relation,294.0,2.0,450.0,1432.0,3040.0,910.0,1225.0,1203.0,4013.0,416.0,30245.0
2,initial_size_relation,0.0,64.0,395.0,562.0,372.0,1212.0,1722.0,1462.0,2055.0,3650.0,31736.0
