,category,0,1,2,3,4,5,6,7,8,9,10
0,times,137.81200000000004,1763.3040000000005,15183.81600000002,12521.087999999905,42728.04400000001,10429.063999999995,17544.463999999974,11283.052000000029,8516.583999999782,7501.008000000012,7736.6800000009525
1,real_size_relation,227.0,5.0,546.0,1448.0,3063.0,1101.0,1540.0,1373.0,4114.0,427.0,30484.0
2,initial_size_relation,0.0,64.0,378.0,541.0,340.0,1157.0,1682.0,1489.0,2058.0,3768.0,32851.0
