,category,0,1,2,3,4,5,6,7,8,9,10
0,times,104.37599999999993,1201.0600000000004,14263.375999999967,10973.131999999914,28695.940000000057,7990.927999999958,13475.687999999991,9392.983999999968,7130.748000000032,4867.8279999999895,3444.459999999564
1,real_size_relation,294.0,13.0,779.0,1632.0,3132.0,962.0,1291.0,1246.0,4276.0,516.0,30947.0
2,initial_size_relation,0.0,64.0,381.0,505.0,373.0,1307.0,2021.0,1612.0,2145.0,4072.0,32608.0
