,category,0,1,2,3,4,5,6,7,8,9,10
0,times,47.227999999999966,459.856,12686.567999999927,10975.368000000022,28775.560000000023,7843.5719999999965,13308.740000000033,9209.848,7096.451999999699,4822.832000000002,3419.635999999169
1,real_size_relation,294.0,7.0,809.0,1688.0,3137.0,990.0,1447.0,1384.0,4309.0,494.0,30951.0
2,initial_size_relation,0.0,64.0,395.0,560.0,380.0,1309.0,2022.0,1589.0,2103.0,3851.0,33237.0
