,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,result_is_correct,inferred_size,initial_size_relation,final_size_relation,push_per_initial,uninterpreted_per_initial,push_per_expected,uninterpreted_per_expected
16,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block6569.4_input.json,31.0,31.0,True,False,31,0.0,1.864,PUSH1 32 ADD PUSH1 64 MLOAD SWAP3 POP DUP3 SWAP2 POP SUB SWAP1 ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273,0.18181818181818185,0.2727272727272727,0.25,0.375
17,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block2671.4_input.json,31.0,31.0,True,False,31,0.0,1.892,PUSH1 32 ADD PUSH1 64 MLOAD SWAP3 POP DUP3 SWAP2 POP SUB SWAP1 ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273,0.18181818181818185,0.2727272727272727,0.25,0.375
18,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block480_input.json,29.0,29.0,True,False,81,52.0,11.772,POP DUP1 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND SWAP1 PUSH1 32 ADD CALLDATALOAD PUSH2 2349 ,28,10.0,4,3,True,9,0.32142857142857145,0.9,0.10714285714285714,0.14285714285714285,0.3333333333333333,0.4444444444444444
19,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block4799.13_input.json,59.0,59.0,True,False,68,9.0,3.384,DUP1 MLOAD SWAP2 POP PUSH1 32 ADD SHA3 PUSH1 0 PUSH20 1461501637330902918203684832716283019655932542975 DUP11 AND ,12,11.0,4,3,True,10,0.8333333333333334,0.9090909090909092,0.25,0.3333333333333333,0.3,0.4
20,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block5543.4_input.json,31.0,31.0,True,False,31,0.0,1.88,PUSH1 32 ADD PUSH1 64 MLOAD SWAP3 POP DUP3 SWAP2 POP SUB SWAP1 ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273,0.18181818181818185,0.2727272727272727,0.25,0.375
21,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block5151.4_input.json,31.0,31.0,True,False,31,0.0,1.904,PUSH1 32 ADD PUSH1 64 MLOAD SWAP3 POP DUP3 SWAP2 POP SUB SWAP1 ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273,0.18181818181818185,0.2727272727272727,0.25,0.375
22,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block798.1_input.json,31.0,31.0,True,False,31,0.0,1.912,PUSH1 32 ADD PUSH1 64 MLOAD SWAP3 POP DUP3 SWAP2 POP SUB SWAP1 ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273,0.18181818181818185,0.2727272727272727,0.25,0.375
23,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block762.1_input.json,31.0,31.0,True,False,31,0.0,1.868,PUSH1 32 ADD PUSH1 64 MLOAD SWAP3 POP DUP3 SWAP2 POP SUB SWAP1 ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273,0.18181818181818185,0.2727272727272727,0.25,0.375
24,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block2072.1_input.json,31.0,31.0,True,False,31,0.0,1.84,PUSH1 32 ADD PUSH1 64 MLOAD SWAP3 POP DUP3 SWAP2 POP SUB SWAP1 ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273,0.18181818181818185,0.2727272727272727,0.25,0.375
25,0x6b175474e89094c44da98b954eedeac495271d0f_Dai_block5414.4_input.json,31.0,31.0,True,False,31,0.0,1.852,PUSH1 32 ADD PUSH1 64 MLOAD SWAP3 POP DUP3 SWAP2 POP SUB SWAP1 ,11,11.0,3,2,True,8,0.7272727272727273,0.7272727272727273,0.18181818181818185,0.2727272727272727,0.25,0.375
