,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,result_is_correct,inferred_size,initial_size_relation,final_size_relation
18,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_Token_block137_input.json,26.0,26.0,True,False,97,71.0,7.572,POP PUSH1 200 PUSH1 4 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND PUSH1 36 CALLDATALOAD PUSH2 709 ,32,9.0,3,5,True,9,0.28125,1.0
19,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_Token_block602_input.json,32.0,32.0,True,False,103,71.0,17.544,POP PUSH2 687 PUSH20 1461501637330902918203684832716283019655932542975 PUSH1 4 CALLDATALOAD AND PUSH20 1461501637330902918203684832716283019655932542975 PUSH1 36 CALLDATALOAD AND PUSH2 746 ,34,11.0,4,5,True,11,0.3235294117647059,1.0
20,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_SCFToken_block2535.2_input.json,751.0,751.0,True,False,766,15.0,2.356,PUSH1 32 ADD PUSH1 0 SHA3 SWAP1 DUP2 SLOAD SUB SWAP1 ,15,9.0,4,2,True,7,0.4666666666666667,0.7777777777777778
21,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_RegularToken_block2000.2_input.json,751.0,751.0,True,False,766,15.0,2.588,PUSH1 32 ADD PUSH1 0 SHA3 SWAP1 DUP2 SLOAD SUB SWAP1 ,15,9.0,4,2,True,7,0.4666666666666667,0.7777777777777778
22,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_UnboundedRegularToken_block2046.2_input.json,751.0,751.0,True,False,766,15.0,1.784,PUSH1 32 ADD PUSH1 0 SHA3 SWAP1 DUP2 SLOAD SUB SWAP1 ,15,9.0,4,2,True,7,0.4666666666666667,0.7777777777777778
23,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_Token_block414_input.json,20.0,20.0,True,False,70,50.0,2.704,POP PUSH2 467 PUSH20 1461501637330902918203684832716283019655932542975 PUSH1 4 CALLDATALOAD AND PUSH2 731 ,25,7.0,2,4,True,7,0.28,1.0
24,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_UnboundedRegularToken_block137_input.json,26.0,26.0,True,False,97,71.0,8.032,POP PUSH1 200 PUSH1 4 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND PUSH1 36 CALLDATALOAD PUSH2 709 ,32,9.0,3,5,True,9,0.28125,1.0
25,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_RegularToken_block1305.5_input.json,751.0,751.0,True,False,766,15.0,1.74,PUSH1 32 ADD PUSH1 0 SHA3 SWAP1 DUP2 SLOAD SUB SWAP1 ,15,9.0,4,2,True,7,0.4666666666666667,0.7777777777777778
26,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_UnboundedRegularToken_block1309.5_input.json,751.0,751.0,True,False,766,15.0,2.224,PUSH1 32 ADD PUSH1 0 SHA3 SWAP1 DUP2 SLOAD SUB SWAP1 ,15,9.0,4,2,True,7,0.4666666666666667,0.7777777777777778
27,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_SCFToken_block314_input.json,26.0,26.0,True,False,97,71.0,9.16,POP PUSH2 377 PUSH1 4 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND PUSH1 36 CALLDATALOAD PUSH2 1136 ,32,9.0,3,5,True,9,0.28125,1.0
