,category,0,1,2,3,4,5,6,7,8,9,10
0,times,102.08799999999997,1106.536,13292.679999999964,11136.043999999905,33710.42400000006,7909.29199999997,13270.271999999963,9402.604000000023,7095.176000000001,4773.807999999967,3169.8999999996454
1,real_size_relation,295.0,12.0,621.0,1828.0,3080.0,936.0,1305.0,1299.0,4363.0,508.0,30980.0
2,initial_size_relation,0.0,64.0,385.0,593.0,345.0,1254.0,2039.0,1657.0,2269.0,4030.0,32591.0
